,CODE,COUNTRY,DATE,HDI,KEYCODE&DATE,Country,European Union,Area (km²),European Single Market
173,AFG,Afghanistan,2020-06-21,0.498,AFG2020-06-21,,,,
174,AFG,Afghanistan,2020-06-22,0.498,AFG2020-06-22,,,,
175,AFG,Afghanistan,2020-06-23,0.498,AFG2020-06-23,,,,
176,AFG,Afghanistan,2020-06-24,0.498,AFG2020-06-24,,,,
177,AFG,Afghanistan,2020-06-25,0.498,AFG2020-06-25,,,,
178,AFG,Afghanistan,2020-06-26,0.498,AFG2020-06-26,,,,
179,AFG,Afghanistan,2020-06-27,0.498,AFG2020-06-27,,,,
180,AFG,Afghanistan,2020-06-28,0.498,AFG2020-06-28,,,,
181,AFG,Afghanistan,2020-06-29,0.498,AFG2020-06-29,,,,
182,AFG,Afghanistan,2020-06-30,0.498,AFG2020-06-30,,,,
183,AFG,Afghanistan,2020-07-01,0.498,AFG2020-07-01,,,,
184,AFG,Afghanistan,2020-07-02,0.498,AFG2020-07-02,,,,
185,AFG,Afghanistan,2020-07-03,0.498,AFG2020-07-03,,,,
186,AFG,Afghanistan,2020-07-04,0.498,AFG2020-07-04,,,,
187,AFG,Afghanistan,2020-07-05,0.498,AFG2020-07-05,,,,
188,AFG,Afghanistan,2020-07-06,0.498,AFG2020-07-06,,,,
189,AFG,Afghanistan,2020-07-07,0.498,AFG2020-07-07,,,,
190,AFG,Afghanistan,2020-07-08,0.498,AFG2020-07-08,,,,
191,AFG,Afghanistan,2020-07-09,0.498,AFG2020-07-09,,,,
192,AFG,Afghanistan,2020-07-10,0.498,AFG2020-07-10,,,,
193,AFG,Afghanistan,2020-07-11,0.498,AFG2020-07-11,,,,
194,AFG,Afghanistan,2020-07-12,0.498,AFG2020-07-12,,,,
195,AFG,Afghanistan,2020-07-13,0.498,AFG2020-07-13,,,,
196,AFG,Afghanistan,2020-07-14,0.498,AFG2020-07-14,,,,
197,AFG,Afghanistan,2020-07-15,0.498,AFG2020-07-15,,,,
198,AFG,Afghanistan,2020-07-16,0.498,AFG2020-07-16,,,,
199,AFG,Afghanistan,2020-07-17,0.498,AFG2020-07-17,,,,
200,AFG,Afghanistan,2020-07-18,0.498,AFG2020-07-18,,,,
201,AFG,Afghanistan,2020-07-19,0.498,AFG2020-07-19,,,,
202,AFG,Afghanistan,2020-07-20,0.498,AFG2020-07-20,,,,
203,AFG,Afghanistan,2020-07-21,0.498,AFG2020-07-21,,,,
204,AFG,Afghanistan,2020-07-22,0.498,AFG2020-07-22,,,,
205,AFG,Afghanistan,2020-07-23,0.498,AFG2020-07-23,,,,
