,iso_code,location,date,total_cases,total_deaths,stringency_index,population,Region,Area (sq. mi.),KEYCODE&DATE,DATE,European Union,European Single Market,Week_Num,Month,day,Dates,Cases_x_Area,Cases_x_Pop,Cumulative Deaths_%_Cases,PopMi2,Stringency_Indexed,Econ_Block,Weekly_Cases,Weekly_Deaths,Stringency_IndexL4_L5
2445,GRC,Greece,2020-04-29,2534.0,136.0,84.26,10423056,WESTERN EUROPE,131940.0,GRC2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.0,0.0,0.1,79.0,4.0,EU,133.0,15.0,True
2446,GRC,Greece,2020-05-06,2642.0,146.0,72.22,10423056,WESTERN EUROPE,131940.0,GRC2020-05-06,2020-05-06,Member,Member,18,May,Wednesday,20200506,0.0,0.0,0.1,79.0,4.0,EU,108.0,10.0,True
2764,HUN,Hungary,2020-04-01,525.0,20.0,76.85,9660350,EASTERN EUROPE,93030.0,HUN2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.0,0.0,0.0,103.8,4.0,EU,299.0,10.0,True
2765,HUN,Hungary,2020-04-08,895.0,58.0,76.85,9660350,EASTERN EUROPE,93030.0,HUN2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.0,0.0,0.1,103.8,4.0,EU,370.0,38.0,True
2766,HUN,Hungary,2020-04-15,1579.0,134.0,76.85,9660350,EASTERN EUROPE,93030.0,HUN2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.0,0.0,0.1,103.8,4.0,EU,684.0,76.0,True
2767,HUN,Hungary,2020-04-22,2168.0,225.0,76.85,9660350,EASTERN EUROPE,93030.0,HUN2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.0,0.0,0.1,103.8,4.0,EU,589.0,91.0,True
2768,HUN,Hungary,2020-04-29,2727.0,300.0,76.85,9660350,EASTERN EUROPE,93030.0,HUN2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.0,0.0,0.1,103.8,4.0,EU,559.0,75.0,True
2998,IRL,Ireland,2020-04-01,3235.0,71.0,85.19,4937796,WESTERN EUROPE,70280.0,IRL2020-04-01,2020-04-01,Member,Member,13,Apr,Wednesday,20200401,0.0,0.0,0.0,70.3,4.0,EU,1906.0,64.0,True
2999,IRL,Ireland,2020-04-08,5709.0,210.0,90.74,4937796,WESTERN EUROPE,70280.0,IRL2020-04-08,2020-04-08,Member,Member,14,Apr,Wednesday,20200408,0.1,0.0,0.0,70.3,5.0,EU,2474.0,139.0,True
3000,IRL,Ireland,2020-04-15,11479.0,406.0,90.74,4937796,WESTERN EUROPE,70280.0,IRL2020-04-15,2020-04-15,Member,Member,15,Apr,Wednesday,20200415,0.2,0.0,0.0,70.3,5.0,EU,5770.0,196.0,True
3001,IRL,Ireland,2020-04-22,16040.0,730.0,90.74,4937796,WESTERN EUROPE,70280.0,IRL2020-04-22,2020-04-22,Member,Member,16,Apr,Wednesday,20200422,0.2,0.0,0.0,70.3,5.0,EU,4561.0,324.0,True
3002,IRL,Ireland,2020-04-29,19877.0,1159.0,90.74,4937796,WESTERN EUROPE,70280.0,IRL2020-04-29,2020-04-29,Member,Member,17,Apr,Wednesday,20200429,0.3,0.0,0.1,70.3,5.0,EU,3837.0,429.0,True
3003,IRL,Ireland,2020-05-06,21983.0,1339.0,90.74,4937796,WESTERN EUROPE,70280.0,IRL2020-05-06,2020-05-06,Member,Member,18,May,Wednesday,20200506,0.3,0.0,0.1,70.3,5.0,EU,2106.0,180.0,True
3004,IRL,Ireland,2020-05-13,23242.0,1488.0,90.74,4937796,WESTERN EUROPE,70280.0,IRL2020-05-13,2020-05-13,Member,Member,19,May,Wednesday,20200513,0.3,0.0,0.1,70.3,5.0,EU,1259.0,149.0,True
3005,IRL,Ireland,2020-05-20,24251.0,1561.0,83.33,4937796,WESTERN EUROPE,70280.0,IRL2020-05-20,2020-05-20,Member,Member,20,May,Wednesday,20200520,0.3,0.0,0.1,70.3,4.0,EU,1009.0,73.0,True
3006,IRL,Ireland,2020-05-27,24735.0,1615.0,83.33,4937796,WESTERN EUROPE,70280.0,IRL2020-05-27,2020-05-27,Member,Member,21,May,Wednesday,20200527,0.4,0.0,0.1,70.3,4.0,EU,484.0,54.0,True
3007,IRL,Ireland,2020-06-03,25066.0,1658.0,83.33,4937796,WESTERN EUROPE,70280.0,IRL2020-06-03,2020-06-03,Member,Member,22,Jun,Wednesday,20200603,0.4,0.0,0.1,70.3,4.0,EU,331.0,43.0,True
3008,IRL,Ireland,2020-06-10,25215.0,1691.0,72.22,4937796,WESTERN EUROPE,70280.0,IRL2020-06-10,2020-06-10,Member,Member,23,Jun,Wednesday,20200610,0.4,0.0,0.1,70.3,4.0,EU,149.0,33.0,True
3009,IRL,Ireland,2020-06-17,25334.0,1709.0,72.22,4937796,WESTERN EUROPE,70280.0,IRL2020-06-17,2020-06-17,Member,Member,24,Jun,Wednesday,20200617,0.4,0.0,0.1,70.3,4.0,EU,119.0,18.0,True
3010,IRL,Ireland,2020-06-24,25391.0,1720.0,72.22,4937796,WESTERN EUROPE,70280.0,IRL2020-06-24,2020-06-24,Member,Member,25,Jun,Wednesday,20200624,0.4,0.0,0.1,70.3,4.0,EU,57.0,11.0,True
3018,IRL,Ireland,2020-08-19,27499.0,1775.0,70.83,4937796,WESTERN EUROPE,70280.0,IRL2020-08-19,2020-08-19,Member,Member,33,Aug,Wednesday,20200819,0.4,0.0,0.1,70.3,4.0,EU,698.0,2.0,True
3019,IRL,Ireland,2020-08-26,28201.0,1777.0,70.83,4937796,WESTERN EUROPE,70280.0,IRL2020-08-26,2020-08-26,Member,Member,34,Aug,Wednesday,20200826,0.4,0.0,0.1,70.3,4.0,EU,702.0,2.0,True
